Date,Price
"Nov 19, 2015",66.09
"Nov 18, 2015",66.033
"Nov 17, 2015",65.981
"Nov 16, 2015",65.886
"Nov 13, 2015",66.059
"Nov 12, 2015",66.055
"Nov 11, 2015",66.07
"Nov 10, 2015",66.2
"Nov 09, 2015",66.475
"Nov 06, 2015",66.14
"Nov 05, 2015",65.86
"Nov 04, 2015",65.609
"Nov 03, 2015",65.569
"Nov 02, 2015",65.561
"Oct 30, 2015",65.423
"Oct 29, 2015",65.449
"Oct 28, 2015",64.954
"Oct 27, 2015",65.112
"Oct 26, 2015",64.921
"Oct 23, 2015",64.892
"Oct 22, 2015",64.86
"Oct 21, 2015",65.146
"Oct 20, 2015",65.024
"Oct 19, 2015",64.919
"Oct 16, 2015",64.703
"Oct 15, 2015",64.779
"Oct 14, 2015",64.736
"Oct 13, 2015",65.098
"Oct 12, 2015",64.795
"Oct 09, 2015",64.78
"Oct 08, 2015",64.819
"Oct 07, 2015",64.907
"Oct 06, 2015",65.129
"Oct 05, 2015",65.134
"Oct 02, 2015",65.364
"Oct 01, 2015",65.631
"Sep 30, 2015",65.517
"Sep 29, 2015",65.837
"Sep 28, 2015",66.267
"Sep 25, 2015",66.17
"Sep 24, 2015",66.11
"Sep 23, 2015",66.184
"Sep 22, 2015",65.91
"Sep 21, 2015",65.691
"Sep 18, 2015",65.868
"Sep 17, 2015",66.071
"Sep 16, 2015",66.219
"Sep 15, 2015",66.447
"Sep 14, 2015",66.261
"Sep 11, 2015",66.241
"Sep 10, 2015",66.299
"Sep 09, 2015",66.619
"Sep 08, 2015",66.294
"Sep 07, 2015",66.886
"Sep 04, 2015",66.685
"Sep 03, 2015",66.1
"Sep 02, 2015",66.202
"Sep 01, 2015",66.383
"Aug 31, 2015",66.412
"Aug 28, 2015",66.15
"Aug 27, 2015",65.968
"Aug 26, 2015",66.004
"Aug 25, 2015",66.28
"Aug 24, 2015",66.814
"Aug 21, 2015",66.034
"Aug 20, 2015",65.433
"Aug 19, 2015",65.109
"Aug 18, 2015",65.454
"Aug 17, 2015",65.436
"Aug 14, 2015",65.129
"Aug 13, 2015",65.203
"Aug 12, 2015",64.855
"Aug 11, 2015",64.332
